name,brandName,ratingScore,price,processor,ram,memory,displaySize,gen
apple macbook air,Apple,5.0,136999.0,m1,8gb,256gb,"13.3""",
dell inspiron 15,Dell,4.7,85990.0,i5,8gb,512 ssd,"15.6""",
apple macbook air,Apple,4.8,139999.0,m1,6gb,256gb,"13""",
dell vostro 3400,Dell,4.6,52000.0,i3,8gb,256gb,"14""",11th
hp victus 15,HP,4.6,99990.0,i5,4gb,512gb,"15.6""",12th
acer aspire 5,Acer,4.7,51000.0,intel,4gb,128gb,"15.6""",11th
mi notebook pro,MI,5.0,109999.0,intel,6gb,512gb,"14 """,11th
dell vostro 3400,Dell,4.7,75990.0,i5,8gb,512ssd,"14""",11th
apple macbook air,Apple,5.0,184899.0,m2,6gb,256gb,"13.6""",
mi notebook ultra,MI,5.0,136999.0,intel,6gb,512gb,"156""",11th
dell vostro 3400,Dell,0.0,51990.0,i3,4gb,256ssd,"14""",11th
acer swift 3,Acer,5.0,89999.0,intel,8gb,512gb,13.5',11th
dell vostro 3400,Dell,5.0,51999.0,i3,4gb,256gb,"14""",11th
acer aspire 3,Acer,0.0,84990.0,i5,8gb,256gb,15.6,12th
dell inspiron 3511,Dell,4.3,82990.0,i5,8gb,512gb,"15.6""",11th
hp 14dq2031wm intel,HP,4.0,51999.0,intel,8gb,256gb,,
hp laptop 15s,HP,0.0,59895.0,ryzen,8gb,512gb,15.6,
acer nitro 5,Acer,5.0,156500.0,ryzen,6gb,512gb,"15.6""",
acer extensa 15,Acer,4.5,73999.0,i5,8gb,512gb,"15.6""",11th
lenovo ideapad 3,Lenovo,0.0,66990.0,ryzen,8gb,256gb,"14""",
"hp 14""\core i3",HP,4.8,52249.0,i3,8gb,256gb,"14""",11th
acer extensa 15,Acer,0.0,74999.0,i5,6gb,512gb,"15.6""",11th
asus 15 laptop,ASUS,0.0,33250.0,intel,4 gb,256 gb,15.6,
dell inspiron 15,Dell,0.0,92900.0,i5,4gb,1tb,,
lenovo ip3 ryzen,Lenovo,0.0,82990.0,ryzen,8gb,256gb,"14""",
hp laptop 15s,HP,0.0,80000.0,ryzen,8gb,512 ssd,15.6,
hp victus 15,HP,5.0,99499.0,intel,8gb,512gb,"15.6""",12th
acer aspire 5,Acer,4.7,71250.0,i5,8 gb,256 gb,"14 """,11 gen
asus vivobook 14,ASUS,4.0,33900.0,intel,4gb,128gb,"14""",11th
acer nitro 5,Acer,0.0,118000.0,amd,6gb,512gb,15.6,
asus laptop 14x409ea,ASUS,0.0,50000.0,intel,4gb,128gb,"14""",10 gen
avita magus cosmos,Avita,4.7,34999.0,other,4gb,,"11.6""",
acer aspire 3,No Brand,0.0,84000.0,intel,4gb,1tb,15.6,11th
lenovo ideapad 1/ryzen,Lenovo IdeaPad,0.0,65500.0,ryzen,,,,
msi creator m16,MSI,0.0,218500.0,m1,,,,
lenovo ideapad 3,Lenovo,0.0,61500.0,intel,8gb,512gb,"14""",
acer aspire 5,Acer,0.0,71900.0,amd,8gb,512gb,"15.6""",
ideapad slim 3,Lenovo,0.0,73000.0,intel,8gb,256gb,"15.6""",12th
acer aspire 5,No Brand,0.0,126400.0,intel,8gb,128gb,"14""",
dell laptop vostro,No Brand,0.0,73000.0,i5,8gb,256gb,"15.6""",11th
apple macbook air,Apple,5.0,136999.0,m1,8gb,256gb,"13.3""",
dell inspiron 15,Dell,4.7,85990.0,i5,8gb,512 ssd,"15.6""",
apple macbook air,Apple,4.8,139999.0,m1,6gb,256gb,"13""",
dell vostro 3400,Dell,4.6,52000.0,i3,8gb,256gb,"14""",11th
hp victus 15,HP,4.6,99990.0,i5,4gb,512gb,"15.6""",12th
acer aspire 5,Acer,4.7,51000.0,intel,4gb,128gb,"15.6""",11th
mi notebook pro,MI,5.0,109999.0,intel,6gb,512gb,"14 """,11th
dell vostro 3400,Dell,4.7,75990.0,i5,8gb,512ssd,"14""",11th
apple macbook air,Apple,5.0,184899.0,m2,6gb,256gb,"13.6""",
mi notebook ultra,MI,5.0,136999.0,intel,6gb,512gb,"156""",11th
dell vostro 3400,Dell,0.0,51990.0,i3,4gb,256ssd,"14""",11th
acer swift 3,Acer,5.0,89999.0,intel,8gb,512gb,13.5',11th
dell vostro 3400,Dell,5.0,51999.0,i3,4gb,256gb,"14""",11th
acer aspire 3,Acer,0.0,84990.0,i5,8gb,256gb,15.6,12th
dell inspiron 3511,Dell,4.3,82990.0,i5,8gb,512gb,"15.6""",11th
hp 14dq2031wm intel,HP,4.0,51999.0,intel,8gb,256gb,,
hp laptop 15s,HP,0.0,59895.0,ryzen,8gb,512gb,15.6,
acer nitro 5,Acer,5.0,156500.0,ryzen,6gb,512gb,"15.6""",
acer extensa 15,Acer,4.5,73999.0,i5,8gb,512gb,"15.6""",11th
lenovo ideapad 3,Lenovo,0.0,66990.0,ryzen,8gb,256gb,"14""",
"hp 14""\core i3",HP,4.8,52249.0,i3,8gb,256gb,"14""",11th
acer extensa 15,Acer,0.0,74999.0,i5,6gb,512gb,"15.6""",11th
asus 15 laptop,ASUS,0.0,33250.0,intel,4 gb,256 gb,15.6,
dell inspiron 15,Dell,0.0,92900.0,i5,4gb,1tb,,
lenovo ip3 ryzen,Lenovo,0.0,82990.0,ryzen,8gb,256gb,"14""",
hp laptop 15s,HP,0.0,80000.0,ryzen,8gb,512 ssd,15.6,
hp victus 15,HP,5.0,99499.0,intel,8gb,512gb,"15.6""",12th
acer aspire 5,Acer,4.7,71250.0,i5,8 gb,256 gb,"14 """,11 gen
asus vivobook 14,ASUS,4.0,33900.0,intel,4gb,128gb,"14""",11th
acer nitro 5,Acer,0.0,118000.0,amd,6gb,512gb,15.6,
asus laptop 14x409ea,ASUS,0.0,50000.0,intel,4gb,128gb,"14""",10 gen
avita magus cosmos,Avita,4.7,34999.0,other,4gb,,"11.6""",
acer aspire 3,No Brand,0.0,84000.0,intel,4gb,1tb,15.6,11th
lenovo ideapad 1/ryzen,Lenovo IdeaPad,0.0,65500.0,ryzen,,,,
msi creator m16,MSI,0.0,218500.0,m1,,,,
lenovo ideapad 3,Lenovo,0.0,61500.0,intel,8gb,512gb,"14""",
acer aspire 5,Acer,0.0,71900.0,amd,8gb,512gb,"15.6""",
ideapad slim 3,Lenovo,0.0,73000.0,intel,8gb,256gb,"15.6""",12th
acer aspire 5,No Brand,0.0,126400.0,intel,8gb,128gb,"14""",
dell laptop vostro,No Brand,0.0,73000.0,i5,8gb,256gb,"15.6""",11th
dell inspiron 135310/,Dell,0.0,90000.0,i5,6gb,512gb,,11gen
lenovo ideapad 1,Lenovo,0.0,61000.0,amd,8gb,256gb,"14.0""",
dell latitude e5270,Della,0.0,36999.0,i5,8 gb,256 gb,"13 """,56th
acer aspire 5,Acer,0.0,78000.0,intel,8 gb,256 gb,"14 """,12 gen
xlab xbook series,XLAB,0.0,64900.0,other,,,,
mi notebook pro,MI,0.0,104990.0,intel,6gb,512 gb,"14""",11th
msi modern 15,MSI,0.0,137000.0,i5,8gb,512gb,"15.6""",11th
msi modern 15,MSI,0.0,148000.0,i7,8gb,512gb,"15.6""",11th
acer nitro 5,No Brand,0.0,153867.0,i5,8gb,512gb,"15.6""",11th
acer aspire 5,Acer,0.0,92000.0,i5,8gb,256gb,"15.6""",12th
msi summit b15,MSI,0.0,138000.0,i5,8gb,512gb,"15.6""",11th
msi gp66 leopard,MSI,0.0,259000.0,i7,6gb,1tb,"15.6""",10th
msi ge65 raider,MSI,0.0,230000.0,i7,6gb,1tb,"15.6""",9th
hp notebook 14dk1025wm,HP,0.0,61000.0,ryzen,8gb,256gb,"14""",
"dell inspiron 153511/i511,35g7/8gb",Dell,0.0,90000.0,i5,8gb,256gb,,
dell inspiron 15,Dell,0.0,140000.0,intel,6gb,256gb,"15.6""",
dell new inspiron,Dell,0.0,140000.0,amd,8gb,512gb,,
lenovo ideapad slim,Lenovo,0.0,95000.0,intel,8gb,512gb,"14""",11th
"asus vivobook e410ma,",ASUS,0.0,49000.0,other,4gb,256gb,"14 """,
mi notebook pro,Xiaomi,4.5,109999.0,intel,6gb,512gb,"14 """,11th
acer aspire a51454i5,Acer,0.0,78500.0,i5,8gb,256gb,,11th
dell vostro 3400/i3/11gen/4gb,Dell,0.0,70000.0,i3,4gb,,14',11gen
gateway gwnc31514 intel,Gateway,0.0,42999.0,intel,4gb,128gb,"15.6""",11th
acer aspire 5,Acer,0.0,72000.0,i5,8gb,256gb,"14 """,11th
acer aspire 5,Acer,0.0,74000.0,i5,8gb,256gb,"14 """,11th
gateway gwtn141 ultra,Gateway,0.0,68990.0,i5,6gb,512gb,14.1,11th
lenovo 1 14igl7,Lenovo,0.0,34999.0,other,4gb,128gb,"14""",
acer extensa 15,Acer,0.0,74499.0,intel,8gb,512gb,"15.6""",11th
acer aspire 5,Acer,0.0,92000.0,intel,8gb,512gb,"15.6""",11th
asus g513qehn136t ryzen,ASUS,0.0,198000.0,ryzen,6 gb,512 gb,15.6,
asus vivobook x515ea,ASUS,5.0,67000.0,i3,4gb,256 gb,15.6,11th
chuwi minibook x,CHUWI,0.0,79040.0,intel,2gb,512gb,"10.8""",11th
asus vivobook e410m,ASUS,5.0,32900.0,other,4gb,128gb,"14""",
dell g5 15,Dell,5.0,145900.0,i5,8gb,256 ssd,"15.6""",
dell 2022 inspiron,Dell,0.0,112000.0,i5,2gb,1tb,14',
dell latitude 5320,Dell,0.0,95000.0,i5,8gb,256gb,"13.3""",11th
dell inspiron 15,Dell,0.0,82900.0,i5,8gb,128gb,,
"macbookpro 14.2‑"" 8core",Apple,5.0,305000.0,other,6gb,512gb,14.2,
hp pavilion laptop,HP,5.0,101500.0,other,8 gb,512 gb,"15.6""",
acer aspire 5,Acer,0.0,76990.0,i5,8gb,256gb,14',12th
hp laptop 15,HP,0.0,87000.0,other,8gb,512gb,"15.6""",
chuwi gemibook x,CHUWI,0.0,59850.0,intel,6gb,256gb,"15.6""",11th
chuwi freebook 360°,CHUWI,0.0,80135.0,intel,2gb,512gb,13.5',11th
dell inspiron 14,Dell,4.0,109900.0,amd,8gb,512ssd,,
apple macbook pro,Apple,0.0,189900.0,m2,8gb,256gb,,
apple macbook pro,Apple,0.0,368000.0,other,6gb,,"16.2""",
dell inspiron 15,Dell,0.0,95500.0,i5,8gb,512ssd,,
asus vivobook 15,ASUS,0.0,105000.0,i5,8gb,512gb,"15.6""",11th
huawei matebook d15,Huawei,0.0,109990.0,intel,8gb,512gb,,11th
"chuwi gemibook 13""",CHUWI,5.0,50920.0,other,8gb,256gb,"13""",
dell inspiron 15,Dell,5.0,122900.0,amd,8gb,512gb,"15.6""",
apple macbook pro,Apple,0.0,243000.0,m2,8gb,512gb,,
dell vostro 15,Dell,0.0,73000.0,amd,8gb,512gb,"15.6""",
apple macbook pro,Apple,0.0,375000.0,m1,6gb,512gb,"16""",
dell inspiron 3511,Dell,0.0,67000.0,intel,8gb,256gb,"15.6""",11th
lenovo legion 5,Lenovo,4.7,128000.0,ryzen,8gb,256gb,,
acer swift3 laptop,No Brand,0.0,160000.0,i7,8gb,512gb,"13.5""",11th
dell inspiron 15,Dell,0.0,63900.0,amd,4gb,1tb,,
chuwi gemibook pro,CHUWI,5.0,54815.0,other,8gb,256gb,"14""",
dell inspiron 15,Dell,0.0,95500.0,i5,8gb,512ssd,,
asus zenbook 17,ASUS,0.0,555000.0,i7,6 gb,1tb,"17.3""",
dell inspiron g15,Dell,0.0,145900.0,i5,8gb,256ssd,,
hp pavilion 15,HP,0.0,108000.0,ryzen,8gb,512gb,15.6,
dell inspiron 15,Dell,0.0,69500.0,i3,8gb,256ssd,,
lenovo thinkpad p14s,Lenovo,0.0,169000.0,intel,,,,12th
dell inspiron g15,Dell,0.0,172900.0,amd,8gb,512ssd,,
"hp 14""\core i3",HP,3.4,51999.0,i3,8gb,256gb,"14""",11th
asus vivobook pro,ASUS,5.0,238888.0,other,6 gb,1 tb,"16""",5th
chuwi corebook x,CHUWI,0.0,70300.0,other,8gb,512gb,"14""",
lenovo ideapad 3,Lenovo,0.0,78999.0,amd,8gb,256gb,15.6,
avita satus ultimus,Avita,0.0,34999.0,other,4gb,256gb,"14.1""",
lenovo ip 3,Lenovo,5.0,40999.0,intel,4gb,1 tb,"15.6""",
2022 apple macbook,Apple,0.0,199000.0,m2,8gb,256gb,"13.6""",
acer extensa 15,Acer,4.0,95000.0,i5,6gb,512gb,15.6,
dell inspiron 5515,Dell,0.0,95000.0,ryzen,8gb,256gb,"15.6""",
dell lnspirion 15,Dell,0.0,160000.0,other,8gb,512gb,"615.6""",16th
asus vivobook 14,ASUS,4.0,52250.0,i3,8gb,256gb,"14""",11th
asus vivobook flip,ASUS,0.0,117778.0,ryzen,8gb,512 gb,,
acer aspire 5,Acer,0.0,71000.0,intel,8gb,256gb,"15.6""",11th
dell lnspirion 15,Dell,5.0,124000.0,i5,8gb,256gb,"15.6""",
"asus vivobook e510ma,",ASUS,0.0,49000.0,other,4gb,256gb,15.6,10th
asus rog strix,ASUS,0.0,250444.0,ryzen,,,,
apple macbook pro,Apple,0.0,368000.0,other,6gb,1tb,"14.2""",
asus vivobook m415da,ASUS,0.0,64000.0,ryzen,4gb,256gb,"14""",11th
dell inspiron 14,Dell,0.0,123900.0,amd,8gb,512gb,"14""",
lenovo ideapad 3,Lenovo,0.0,56000.0,i3,8gb,256gb,15.6,311th
dell inspiron 16,Dell,0.0,180000.0,intel,2gb,1tb,"16""",
asus vivobook 15,ASUS,0.0,46407.0,intel,4gb,256ssd,,
lenovo ideapad (slim,Lenovo,0.0,62500.0,other,,,,
asus zenbook pro,ASUS,0.0,388888.0,i9,2 gb,1 tb,"14 """,12th
asus vivobook pro,ASUS,0.0,187777.0,other,6 gb,1 tb,"14""",5th
dell inspiron 3511/,Dell,0.0,95000.0,i5,6gb,256gb,15.6,
apple macbook pro,Apple,0.0,395000.0,other,6gb,1tb,"16.2""",
asus tuf gaming,ASUS,0.0,158000.0,amd,4gb,512gb,"15.6""",
dell xps 13,Dell,0.0,280000.0,intel,2gb,,13.4,
dell inspiron 14,Dell,0.0,129999.0,intel,6gb,512gb,"14""",11th
dell inspiron 15,Dell,0.0,94900.0,i5,4gb,1tb,,
dell inspiron 14,Dell,0.0,109900.0,amd,8gb,512ssd,,
dell g15 5515,Dell,0.0,180000.0,ryzen,6gb,256gb,"15.6""",
dell inspiron 15,Dell,0.0,109900.0,i5,8gb,512gb,"15.6""",
dell alienware m15,Dell,0.0,360000.0,m1,2gb,1tb,"15.6""",
dell alienware m15,Dell,0.0,359900.0,m1,2gb,1tb,,
asus zephyrus g15,ASUS,5.0,227000.0,amd,4gb,1tb,15.6,
hp laptop 15sryzen,HP,0.0,54999.0,ryzen,4gb,256gb,15.6,
redmibook 15 pro,Redmi,0.0,84990.0,intel,8gb,512gb,"15.6""",11th
asus zenbook 14,ASUS,0.0,154444.0,i7,6gb,512gb,14',711th
new inspirion 3511,Dell,0.0,67000.0,i3,8gb,256gb,"15.6""",
dell laptop latitude,Dell,0.0,82000.0,i5,8gb,1tb,,10th
dell inspiron 3501,Dell,0.0,93000.0,intel,8gb,512gb,"15.6""",11th
asus vivobook f415eaas31,ASUS,0.0,59999.0,intel,4gb,128gb,"14""",
hp 15seq2022nia /,HP,0.0,80000.0,amd,8gb,512gb,15.6,
dell inspiron 15,Dell,0.0,92000.0,amd,8gb,256gb,15.6,
asus zenbook duo,ASUS,0.0,220000.0,i7,2 gb,1 tb,12.6,11th
modern 15 a11m,MSI,0.0,117000.0,other,,,,
dell vostro i51135g7,Dell,0.0,99900.0,i5,8gb,512gb,"15.6""",
hp 14dk ryzen,HP,5.0,50800.0,ryzen,8gb,256gb,"14""",
dell lnspirion 15,Dell,0.0,164000.0,i7,8gb,512gb,"15.6""",
dell inspiron 15,Dell,0.0,109900.0,i5,8gb,112ssd,,
chuwi new gemibook,CHUWI,0.0,58473.0,other,8gb,256gb,"14""",
dell inspiron g15,Dell,0.0,189900.0,amd,6gb,512ssd,,
dell inspiron 15,Dell,0.0,69500.0,i3,8gb,256ssd,,
acer aspire 5,Acer,5.0,63999.0,i3,8gb,128gb,"15.6""",11th
2022 acer nitro,Acer,0.0,132000.0,ryzen,8gb,512gb,"15.6""",
dell lnspirion 15,Dell,0.0,124000.0,other,8gb,256gb,"615.6""",12th
dell inspiron 15,Dell,0.0,89900.0,i5,4gb,1tb,"15""",
apple macbook pro,Apple,0.0,405000.0,m1,6gb,1tb,"16""",
"apple macbook pro13""",Apple,0.0,205999.0,m2,6gb,256gb,"13""",
redmibook 15 pro,MI,0.0,89999.0,intel,8gb,512 gb,"15.6""",11th
asus vivobook 14,ASUS,0.0,124999.0,i7,8gb,512gb,"14""",12th
"macbookpro 14.2‑"" 10core",Apple,0.0,380000.0,other,6gb,1tb,14.2,
dell lnspiron 15,Dell,0.0,64000.0,i3,4gb,256gb,"15.6""",
hp envy x360,HP,0.0,133000.0,i7,8gb,512gb,13.3,11th
dell vostro 3510,Dell,0.0,70000.0,i3,8gb,256gb,"15.6""",
laptop hp 14,HP,0.0,58999.0,i3,8gb,256ssd,"14""",11th
acer nitro 5,Acer,5.0,110890.0,ryzen,6gb,512gb,,
dell inspiron 7306,Dell,0.0,169900.0,i5,8gb,512gb,"13.3""",
dell vostro i51135g7,Dell,0.0,95000.0,i5,8gb,512gb,"15.6""",
lenovo ideapad 3,Lenovo,0.0,60000.0,intel,8gb,256gb,"14""",
hp laptop 15,HP,0.0,70000.0,other,4gb,256gb,"15.6""",
dell inspiron 3511,No Brand,0.0,85999.0,i5,8gb,512ssd,"15.6""",11th
ideapad slim 5,Lenovo,0.0,96500.0,intel,8gb,256gb,"15.6""",11th
dell lnspiron 15,Dell,0.0,90000.0,amd,8gb,512gb,,
dell lnspiron 15,Dell,0.0,118000.0,i7,8gb,512gb,"15.6""",
ideapad slim 5,Lenovo,0.0,132250.0,intel,8gb,512gb,"15.6""",11th
hp 14dq2088wm budget,HP,0.0,80000.0,i5,8gb,256gb,"14""",
dell inspiron 3501,Dell,0.0,94000.0,intel,8gb,128gb,15.6,
dell inspiron 15,Dell,0.0,63900.0,amd,4gb,1tb,"15.6""",
dell inspiron 15,Dell,0.0,94900.0,i5,4gb,1tb,,
dell inspiron 15,Dell,0.0,69500.0,i3,4gb,256ssd,,
asus vivobook 14,ASUS,0.0,46407.0,intel,4gb,256ssd,,
inspiron 15 3515,Dell,0.0,82900.0,amd,8gb,256ssd,,
