name,brandName,ratingScore,description,price
"Apple MacBook Air Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage,with 1 year Insurance (screen Breakage only )- iSure",Apple,5,"['All-Day Battery Life â\x80\x93 Go longer than ever with up to 18 hours of battery life.', 'Powerful Performance â\x80\x93 Take on everything from professional-quality editing to action-packed gaming with ease. The Apple M1 chip with an 8-core CPU delivers up to 3.5x faster performance than the previous generation while using way less power.', 'Superfast Memory â\x80\x93 8GB of unified memory makes your entire system speedy and responsive. That way it can support tasks like memory-hogging multitab browsing and opening a huge graphic file quickly and easily.', 'Stunning Display â\x80\x93 With a 13.3-inch/33.74 cm Retina display, images come alive with new levels of realism. Text is sharp and clear, and colors are more vibrant.', 'Why Mac â\x80\x93 Easy to learn. Easy to set up. Astoundingly powerful. Intuitive. Packed with apps to use right out of the box. Mac is designed to let you work, play, and create like never before.', 'Simply Compatible â\x80\x93 All your existing apps work, including Adobe Creative Cloud, Microsoft 365, and Google Drive. Plus you can use your favorite iPhone and iPad apps directly on macOS. Altogether youâ\x80\x99ll have access to the biggest collection of apps ever for Mac. All available on the App Store.', 'Easy to Learn â\x80\x93 If you already have an iPhone, MacBook Air feels familiar from the moment you turn it on. And it works perfectly with all your Apple devices. Use your iPad to extend the workspace of your Mac, answer texts and phone calls directly on your Mac, and more.', 'Fanless Design â\x80\x93 Your MacBook Air stays cool and runs quietly even while tackling intense workloads.', 'AppleCare â\x80\x93 Every Mac comes with a one-year limited warranty and up to 90 days of complimentary technical support. Get AppleCare+ to extend your coverage and reduce the stress and cost of unexpected repairs.', 'Environmentally Friendly â\x80\x93 MacBook Air is made with a 100% recycled aluminum enclosure and uses less energy for a smaller carbon footprint']",136999.00
"Dell Inspiron 15 3511 / i5 1135G7 / 8GB / 512 SSD / NVIDIA MX 350 2GB GDDR5 / 15.6"" FHD Laptop",Dell,4.7,"['CPU : i5 11th Gen', 'RAM : 8GB DDR 4', 'HDD : 512GB SSD', 'Screen :15.6-inch FHD (1920 x 1080)', 'Graphic : NVIDIA GeForce MX350 with 2GB', 'Windows 10 Home Genuine', 'Brand New Laptop', 'Operating System: Windows 10 Home', 'Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (8MB Cache, up to 4.2 GHz)', 'Memory: RAM8GB DDR4, 2666MHz', 'Storage: 512GB SSD', 'Graphic: NVIDIA GeForce MX350 with 2GB GDDR5 graphics memory', 'Display: 15.6-inch FHD (1920 x 1080) Anti-glare LED Backlight Non Touch Narrow Border WVA Display', 'Battery: 3-Cell Battery, 41WHr (Integrated)', 'Optical Device: No', 'Web Cam: Integrated widescreen HD (720p) Webcam with Single Digital Microphone', 'Wifi: Wi-Fi 5 (WiFi 802.11ac),', 'Bluetooth: Bluetooth 5.0', 'Card Reader:SD Card Reader (SD, SDHC, SDXC)', 'Audio:2 tuned speakers with Waves MaxxAudio® Pro 1 combo headphone / microphone jack', 'I/O Ports:1. SD Card Reader  2. USB2.0  3. Power Jack  4. Headset jack*  5. HDMI 1.4*  6. USB 3.2  7. USB 3.2', 'Weight:Starting Weight: 1.85 kg (4.07 lb)', 'Dimensions:1. Height: 17.50-18.99 mm (0.68-0.74"")  2. Width: 358.50 mm (14.11"")  3. Depth: 235.56 mm (9.27"") ']",85990.00
Apple MacBook Air 13-inch M1 256GB - Oliz Store,Apple,4.8,"['Apple M1 chip with 8core CPU, 7core GPU, and 16core NeuralEngine', '8GB unified memory', '256GB SSD storage', 'Retina display with True Tone', 'Magic Keyboard', 'Touch ID', 'Force Touch trackpad', 'Two Thunderbolt / USB 4 ports']",139999.00
"Dell Vostro 3400 i3 11th Gen / 8GB RAM / 256GB SSD / 14"" FHD Display",Dell,4.6,"['11th Generation Intel Core i3-1115G4 Processor (6MB Cache, Turbo Boost up to 4.1 GHz)', 'Intel UHD Graphics with shared graphics memory', '8GB DDR4, 2666MHz (Expandable up to 16GB)', 'Storage256GB SSD', '14.0-inch FHD', 'Two USB 3.2 Gen 1 Type-A port, One USB 2.0 Type-A port, One HDMI 1.4 port, One Universal Audio Jack, One SD 3.0 card slot', '3-Cell 36 Watt-Hours Integrated']",52000.00
"HP Victus 15 FA0031DX Gaming / i5-12450H 12th Gen / NVIDIA GTX 1650 4GB / 8GB RAM / 512GB SSD /15.6"" Full HD 144Hz",HP,4.6,"['CPU : i5-12450H 12th Gen', 'RAM : 8 GB DDR4', 'HDD : 512GB SSD', 'Screen : 15.6″ diagonal, Full HD (1920 x 1080) IPS 144Hz', 'Graphic : NVIDIA® GeForce GTX™ 1650 (4GB)', 'Backlit Keyboard', 'Windows 11 Home 64']",99990.00
"Acer Aspire 5 A515-56-32DK Intel Core i3 11th Gen / 15.6"" FHD Laptop / 4GB RAM / 128GB SSD / Iris Xe Graphics / Windows 11 / Silver",Acer,4.7,"['Powerful Productivity: 11th Generation Intel Core i3-1115G4 Dual Core processor delivers unmatched speed and intelligence.', 'Experience sharp details and crisp colors on the 15.6&quot; Full HD IPS display.', '4GB DDR4 on-board memory (1 slot available) for extra expansion.', '128GB NVMe solid-state drive storage (1 hard drive bay available) to store your files and media.', 'Windows 11 Home in S mode comes with advanced security features built right in.', 'USB 3.2 Type-C, 2 USB 3.2 Gen 1 (1 Power-off Charging), USB 2.0, HDMI 2.0 with HDCP support, headphone, speaker, line-out jack, Ethernet (RJ-45), DC-in for AC adapter', 'One year warranty against manufacturing defects.']",51000.00
Mi Notebook Pro Intel Core i5 11th Gen16GB/512GB SSD/Iris Xe Graphics 14 Inch,MI,5,"['Mi Notebook Pro (I5) 14 inch IPS QHD+ resolution (2560x1600)', '16:10 aspect ratio; 215 PPI, 1000:1 contrast ratio  Anti Glare', 'TUV low Blue light 11th Gen Intel Tiger Lake Core i5-11300H processor', 'Speed: 3.1 GHz(base) - 4.4 GHz(max)', '16 GB RAM  512GB SSD Windows 10 Home', 'Microsoft Office Home and Student 2019 Intel Iris Xe graphics', 'All Metal Design', 'Bluetooth V5.1', 'Brand New Laptop']",109999.00
"Dell Vostro 3400 i5 11th Gen/ 8GB/ 512ssd/ 14"" FHD Laptop",Dell,4.7,"['CPU : i5 11th Gen', 'RAM : 8GB DDR 4', 'HDD : 512GB SSD', 'Screen :14-inch FHD (1920 x 1080)', 'Graphic :Intel® Iris® Xe Graphics']",75990.00
Apple Macbook Air M2 13.6-inch 256GB,Apple,5,"['Specification:• M2 chip with next-generation CPU, GPU, and machine learning performance', '• Faster 8-core CPU and up to 10-core GPU to power through complex tasks#', '• 16-core Neural Engine for advanced machine learning tasks', '• Up to 24GB of faster unified memory makes everything you do super fluid', '• Up to 20 percent faster for applying image filters and effects', '• Up to 40 percent faster for editing complex video timelines', '• Go all day with up to 18 hours of battery life', '• Fanless design for silent operation', '• 13.6-inch Liquid Retina display with 500 nits of brightness and P3 wide color for vibrant images and incredible detail', '• 1080p FaceTime HD camera with twice the resolution and low-light performance', '• Three-microphone array focuses on your voice instead of what’s going on around you', '• Four-speaker sound system with Spatial Audio for an immersive listening experience', '• Share content seamlessly between iPhone and Mac', '• MagSafe charging port, two Thunderbolt ports, and headphone jack', '• Backlit Magic Keyboard and Touch ID for secure unlock and payments', '• Fast Wi-Fi 6 wireless connectivity', '• Superfast SSD storage launches apps and opens files in an instant', '• macOS Monterey lets you connect, share, and create like never before—across all your Apple devices', '• Available in midnight, starlight, space gray, and silver']",184899.00
"Mi Notebook Ultra / 11th Gen Intel Core i7 / 16GB / 512GB SSD / Iris Xe Graphics / 156"" 3K Resolution Display",MI,5,"['Processor: 11th Gen Intel Tiger Lake H35 Core i7', 'Speed: 3.1 GHz(base) - 4.4 GHz(max)', '4 cores  8 Threads  8 MB Cache', 'Display : 39.62 centimetres IPS 3.2K resolution (3200x2000)', '16:10 aspect ratio, 100% sRGB, 90Hz refresh rate, 241 PPI, 1500:1 contrast ratio  Anti glare  TUV Low blue light', 'Memory & Storage: 16GB RAM  512GB SSD', 'Operating System & Software: Windows 11 Home  Microsoft Office Home and Student 2021; Graphics: Intel Iris Xe graphics', 'Keyboard Description: Chiclet', 'Brand New Laptop']",136999.00
